Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit ,,
10,323,108,3,3.5,3,8.6,0,0.45,0,1
28,298,98,2,1.5,2.5,7.5,1,0.44,0,2
29,295,93,1,2,2,7.2,0,0.46,0,3
40,307,108,2,4,3.5,7.7,0,0.48,0,4
41,308,110,3,3.5,3,8,1,0.46,0,5
42,316,105,2,2.5,2.5,8.2,1,0.49,0,6
58,298,99,2,4,2,7.6,0,0.46,0,7
59,300,99,1,3,2,6.8,1,0.36,0,8
60,311,104,2,2,2,8.3,0,0.42,0,9
61,309,100,2,3,3,8.1,0,0.48,0,10
62,307,101,3,4,3,8.2,0,0.47,0,11
79,296,95,2,3,2,7.54,1,0.44,0,12
80,294,93,1,1.5,2,7.36,0,0.46,0,13
92,299,97,3,5,3.5,7.66,0,0.38,0,14
93,298,98,2,4,3,8.03,0,0.34,0,15
94,301,97,2,3,3,7.88,1,0.44,0,16
95,303,99,3,2,2.5,7.66,0,0.36,0,17
96,304,100,4,1.5,2.5,7.84,0,0.42,0,18
97,306,100,2,3,3,8,0,0.48,0,19
118,290,104,4,2,2.5,7.46,0,0.45,0,20
119,296,99,2,3,3.5,7.28,0,0.47,0,21
273,294,95,1,1.5,1.5,7.64,0,0.49,0,22
330,297,96,2,2.5,1.5,7.89,0,0.43,0,23
345,295,96,2,1.5,2,7.34,0,0.47,0,24
346,316,98,1,1.5,2,7.43,0,0.49,0,25
347,304,97,2,1.5,2,7.64,0,0.47,0,26
348,299,94,1,1,1,7.34,0,0.42,0,27
375,315,105,2,2,2.5,7.65,0,0.39,0,28
376,304,101,2,2,2.5,7.66,0,0.38,0,29
377,297,96,2,2.5,2,7.43,0,0.34,0,30
378,290,100,1,1.5,2,7.56,0,0.47,0,31
387,302,101,2,2.5,3.5,7.96,0,0.46,0,32
389,296,97,2,1.5,2,7.8,0,0.49,0,33
1,337,118,4,4.5,4.5,9.65,1,0.92,1,1
2,324,107,4,4,4.5,8.87,1,0.76,1,2
3,316,104,3,3,3.5,8,1,0.72,1,3
4,322,110,3,3.5,2.5,8.67,1,0.8,1,4
5,314,103,2,2,3,8.21,0,0.65,1,5
6,330,115,5,4.5,3,9.34,1,0.9,1,6
7,321,109,3,3,4,8.2,1,0.75,1,7
8,308,101,2,3,4,7.9,0,0.68,1,8
11,325,106,3,3.5,4,8.4,1,0.52,1,9
12,327,111,4,4,4.5,9,1,0.84,1,10
13,328,112,4,4,4.5,9.1,1,0.78,1,11
14,307,109,3,4,3,8,1,0.62,1,12
15,311,104,3,3.5,2,8.2,1,0.61,1,13
16,314,105,3,3.5,2.5,8.3,0,0.54,1,14
17,317,107,3,4,3,8.7,0,0.66,1,15
18,319,106,3,4,3,8,1,0.65,1,16
19,318,110,3,4,3,8.8,0,0.63,1,17
20,303,102,3,3.5,3,8.5,0,0.62,1,18
21,312,107,3,3,2,7.9,1,0.64,1,19
22,325,114,4,3,2,8.4,0,0.7,1,20
23,328,116,5,5,5,9.5,1,0.94,1,21
24,334,119,5,5,4.5,9.7,1,0.95,1,22
25,336,119,5,4,3.5,9.8,1,0.97,1,23
26,340,120,5,4.5,4.5,9.6,1,0.94,1,24
27,322,109,5,4.5,3.5,8.8,0,0.76,1,25
30,310,99,2,1.5,2,7.3,0,0.54,1,26
31,300,97,2,3,3,8.1,1,0.65,1,27
32,327,103,3,4,4,8.3,1,0.74,1,28
33,338,118,4,3,4.5,9.4,1,0.91,1,29
34,340,114,5,4,4,9.6,1,0.9,1,30
35,331,112,5,4,5,9.8,1,0.94,1,31
36,320,110,5,5,5,9.2,1,0.88,1,32
37,299,106,2,4,4,8.4,0,0.64,1,33
